frame_number,timestamp_sec,src_ip,src_entity,dst_ip,dst_entity,port,protocol,message_type,description,phase,step_ref,spec_reference
945,6.450850000,127.0.2.7,V-UPF,127.0.1.7,H-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL-N9: V-UPF -> H-UPF] TEID=0x00005ac8,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
946,6.450958000,127.0.1.7,H-UPF,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL-N9: H-UPF -> V-UPF] TEID=0x0000aec7,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
947,6.450992000,127.0.2.7,V-UPF,127.0.0.3,T-NG-RAN,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL: V-UPF -> T-NG-RAN] TEID=0x0000000b,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
948,6.471147000,127.0.0.3,T-NG-RAN,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL: T-NG-RAN -> V-UPF] TEID=0x00001502,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
949,6.471192000,127.0.2.7,V-UPF,127.0.1.7,H-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL-N9: V-UPF -> H-UPF] TEID=0x00005ac8,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
950,6.471250000,127.0.1.7,H-UPF,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL-N9: H-UPF -> V-UPF] TEID=0x0000aec7,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
951,6.471267000,127.0.2.7,V-UPF,127.0.0.3,T-NG-RAN,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL: V-UPF -> T-NG-RAN] TEID=0x0000000b,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
954,6.491377000,127.0.0.3,T-NG-RAN,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL: T-NG-RAN -> V-UPF] TEID=0x00001502,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
955,6.491409000,127.0.2.7,V-UPF,127.0.1.7,H-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL-N9: V-UPF -> H-UPF] TEID=0x00005ac8,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
956,6.491448000,127.0.1.7,H-UPF,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL-N9: H-UPF -> V-UPF] TEID=0x0000aec7,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
